MLS,Address,City,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
TR24163325,"20940 Judah Lane #17",Newhall,34.369685,-118.51108,1,rooftop,20940,"Judah Ln",#,17,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24163763,"25216 Steinbeck Avenue #G","Stevenson Ranch",34.38781,-118.578386,1,rooftop,25216,"Steinbeck Ave",Unit,G,"Stevenson Ranch",CA,"Los Angeles County",91381,US,"Los Angeles (Los Angeles County)"
SR24161341,"28444 Santa Rosa Lane #546",Saugus,34.445569,-118.477582,1,rooftop,28444,"Santa Rosa Ln",#,546,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24118735,"19852 Sandpiper Place #96",Newhall,34.398568,-118.482525,1,rooftop,19852,"Sandpiper Pl",Unit,96,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24159851,"19842 Crestview Drive","Canyon Country",34.428606,-118.481627,1,rooftop,19842,"Crestview Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24159249,"20042 Northcliff Drive","Canyon Country",34.429324,-118.48377,1,rooftop,20042,"Northcliff Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24159123,"18149 Sundowner Way #936","Canyon Country",34.420643,-118.452162,1,rooftop,18149,"Sundowner Way",Unit,936,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
WS24118671,"18209 Sierra #5","Canyon Country",34.421299,-118.454929,1,rooftop,18209,"Sierra Hwy",Unit,5,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24157568,"26961 Rainbow Glen Drive #729","Canyon Country",34.420612,-118.490589,1,rooftop,26961,"Rainbow Glen Dr",Unit,729,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
DW24136439,"22707 Copper Hill Drive #30",Saugus,34.461004,-118.532423,1,rooftop,22707,"Copper Hill Dr",Unit,30,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24140123,"19804 Sandpiper Place #10",Newhall,34.398272,-118.481,1,rooftop,19804,"Sandpiper Pl",Unit,10,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24154686,"27062 Crossglade Avenue #3","Canyon Country",34.413057,-118.465719,1,rooftop,27062,"Crossglade Ave",Unit,3,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24149944,"19861 Sandpiper Place #109",Newhall,34.398927,-118.482287,1,rooftop,19861,"Sandpiper Pl",Unit,109,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24150794,"26411 Circle Knoll Court",Newhall,34.404433,-118.480817,1,rooftop,26411,"Circle Knoll Ct",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24117712,"26922 Flo Lane #429","Canyon Country",34.419104,-118.487659,1,rooftop,26922,"Flo Ln",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24113152,"18183 Sundowner Way #846","Canyon Country",34.421241,-118.45171,1,rooftop,18183,"Sundowner Way",Unit,846,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR23207533,"20008 Crestview Drive","Canyon Country",34.428572,-118.482982,1,rooftop,20008,"Crestview Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24117854,"26905 Flo Lane #218","Canyon Country",34.419465,-118.488645,1,rooftop,26905,"Flo Ln",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24107493,"20345 Rue Crevier #505","Canyon Country",34.419002,-118.490691,1,rooftop,20345,"Rue Crevier",Unit,505,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
TR24104948,"27949 Avalon Drive","Canyon Country",34.422488,-118.453648,1,rooftop,27949,"Avalon Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24073645,"20345 Rue Crevier #508","Canyon Country",34.419002,-118.490691,1,rooftop,20345,"Rue Crevier",Unit,508,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
24424365,"26168 Rainbow Glen Drive",Newhall,34.400653,-118.482356,1,rooftop,26168,"Rainbow Glen Dr",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
24407785,"28430 Mirabelle Lane","Santa Clarita",34.445431,-118.476912,1,rooftop,28430,"Mirabelle Ln",,,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24173424,"20042 Avenue Of The Oaks",Newhall,34.403475,-118.487013,1,rooftop,20042,"Ave Of The Oaks",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
CV24138346,"19307 Opal Lane #137",Saugus,34.444636,-118.473654,1,rooftop,19307,"Opal Ln",#,137,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24098990,"26379 Rainbow Glen Drive #261",Newhall,34.405199,-118.486442,1,rooftop,26379,"Rainbow Glen Dr",#,261,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24193446,"18128 Flynn Drive #3301","Canyon Country",34.405054,-118.452128,1,rooftop,18128,"Flynn Dr",Unit,3301,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24189757,"28011 Tiffany #325","Canyon Country",34.423423,-118.449796,1,rooftop,28011,"Tiffany Ln",Unit,325,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24176931,"26120 Goldman Place",Saugus,34.41252,-118.514934,1,rooftop,26120,"Goldman Pl",,,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24191296,"19400 Flowers Court",Newhall,34.407494,-118.473662,1,rooftop,19400,"Flowers Ct",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24137246,"20040 Avenue Of The Oaks",Newhall,34.403544,-118.486573,1,rooftop,20040,"Ave Of The Oaks",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24137806,"18012 Flynn Drive #6802","Canyon Country",34.407202,-118.449227,1,rooftop,18012,"Flynn Dr",Unit,6802,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
BB24187386,"26762 Claudette Street #418","Canyon Country",34.417253,-118.491329,1,rooftop,26762,"Claudette St",Unit,418,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24182969,"22914 Banyan Place #198",Saugus,34.462629,-118.535608,0.9,rooftop,22914,"Banyan Pl",Unit,198,"Santa Clarita",CA,"Los Angeles County",91390,US,"Los Angeles (Los Angeles County)"
SR24185308,"19928 Canyon View Drive","Canyon Country",34.427356,-118.482133,1,rooftop,19928,"Canyon View Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24115955,"19943 Shadow Island Drive","Canyon Country",34.428308,-118.482308,1,rooftop,19943,"Shadow Island Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24107361,"27061 Crossglade Avenue #5","Canyon Country",34.41311,-118.466457,1,rooftop,27061,"Crossglade Ave",Unit,5,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
BB24176829,"26344 Rainbow Glen Drive",Newhall,34.404644,-118.48452,1,rooftop,26344,"Rainbow Glen Dr",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
DW24059390,"26212 Rainbow Glen Drive",Newhall,34.401724,-118.482705,1,rooftop,26212,"Rainbow Glen Dr",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
PW24177773,"26846 Claudette Street #210","Canyon Country",34.419656,-118.49181,1,rooftop,26846,"Claudette St",Unit,210,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24179510,"26458 Oak Highland Drive",Newhall,34.403009,-118.478529,1,rooftop,26458,"Oak Highland Dr",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
GD24013574,"1773 Rebel Road",Acton,34.524209,-118.157298,0.9,rooftop,1773,"Rebel Rd",,,Palmdale,CA,"Los Angeles County",93551,US,"Los Angeles (Los Angeles County)"
SR24129416,"26972 Flo Lane #306","Canyon Country",34.42028,-118.487807,1,rooftop,26972,"Flo Ln",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
24440817,"18802 Vista Del Canon #G",Newhall,34.402926,-118.465801,1,rooftop,18802,"Vista Del Canon",Unit,G,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
